hour,minute,desktop,smartphone,tablet,other mobile
2, 6 , 223 , 49 , 57 , 3 
2, 7 , 221 , 52 , 58 , 3 
2, 8 , 214 , 53 , 58 , 5 
2, 9 , 222 , 49 , 57 , 3 
2, 10 , 216 , 49 , 59 , 4 
2, 11 , 215 , 47 , 54 , 3 
2, 12 , 215 , 43 , 63 , 3 
2, 13 , 224 , 50 , 59 , 3 
2, 14 , 224 , 49 , 57 , 4 
2, 15 , 234 , 46 , 67 , 4 
2, 16 , 219 , 42 , 63 , 3 
2, 17 , 221 , 42 , 65 , 5 
2, 18 , 231 , 44 , 67 , 5 
2, 19 , 230 , 40 , 58 , 4 
2, 20 , 222 , 40 , 65 , 5 
2, 21 , 223 , 43 , 76 , 6 
2, 22 , 214 , 46 , 74 , 3 
2, 23 , 216 , 51 , 65 , 4 
2, 24 , 210 , 45 , 62 , 4 
2, 25 , 209 , 45 , 56 , 4 
2, 26 , 216 , 42 , 62 , 3 
2, 27 , 203 , 46 , 59 , 3 
2, 28 , 200 , 50 , 58 , 3 
2, 29 , 202 , 47 , 59 , 3 
2, 30 , 202 , 42 , 61 , 4 
2, 31 , 209 , 44 , 58 , 4 
2, 32 , 206 , 47 , 64 , 4 
2, 33 , 203 , 45 , 57 , 4 
2, 34 , 205 , 46 , 62 , 3 
2, 35 , 204 , 44 , 62 , 4 
2, 36 , 198 , 41 , 61 , 4 
2, 37 , 199 , 44 , 57 , 4 
2, 38 , 197 , 43 , 60 , 4 
2, 39 , 196 , 44 , 60 , 4 
2, 40 , 202 , 50 , 59 , 5 
2, 41 , 209 , 49 , 55 , 4 
2, 42 , 216 , 44 , 52 , 3 
2, 43 , 207 , 50 , 59 , 5 
2, 44 , 208 , 45 , 58 , 4 
2, 45 , 252 , 48 , 60 , 4 
2, 46 , 225 , 45 , 61 , 3 
2, 47 , 218 , 43 , 63 , 3 
2, 48 , 207 , 45 , 59 , 4 
2, 49 , 212 , 44 , 60 , 4 
2, 50 , 209 , 49 , 64 , 4 
2, 51 , 228 , 51 , 55 , 4 
2, 52 , 218 , 43 , 59 , 3 
2, 53 , 224 , 46 , 61 , 3 
2, 54 , 210 , 45 , 66 , 4 
2, 55 , 218 , 45 , 61 , 5 
2, 56 , 214 , 44 , 60 , 6 
2, 57 , 221 , 47 , 52 , 4 
2, 58 , 211 , 51 , 59 , 4 
2, 59 , 209 , 45 , 63 , 5 
3, -   , 208 , 46 , 54 , 6 
3, 1 , 230 , 48 , 51 , 4 
3, 2 , 238 , 50 , 51 , 5 
3, 3 , 225 , 45 , 52 , 5 
3, 4 , 230 , 42 , 50 , 6 
3, 5 , 221 , 45 , 56 , 6 
3, 6 , 210 , 45 , 53 , 6 
3, 7 , 204 , 45 , 52 , 5 
3, 8 , 212 , 46 , 55 , 5 
3, 9 , 212 , 44 , 53 , 4 
3, 10 , 205 , 44 , 55 , 5 
3, 11 , 198 , 47 , 52 , 6 
3, 12 , 209 , 43 , 48 , 6 
3, 13 , 209 , 44 , 54 , 5 
3, 14 , 206 , 44 , 52 , 5 
3, 15 , 224 , 49 , 51 , 5 
3, 16 , 215 , 48 , 59 , 4 
3, 17 , 211 , 46 , 58 , 5 
3, 18 , 207 , 44 , 57 , 5 
3, 19 , 217 , 41 , 59 , 5 
3, 20 , 222 , 41 , 62 , 4 
3, 21 , 202 , 38 , 57 , 5 
3, 22 , 213 , 39 , 59 , 6 
3, 23 , 210 , 45 , 54 , 6 
3, 24 , 200 , 39 , 50 , 4 
3, 25 , 208 , 47 , 51 , 5 
3, 26 , 217 , 41 , 61 , 5 
3, 27 , 210 , 43 , 46 , 7 
3, 28 , 211 , 51 , 48 , 6 
3, 29 , 211 , 43 , 50 , 6 
3, 30 , 215 , 47 , 55 , 5 
3, 31 , 212 , 42 , 48 , 3 
3, 32 , 217 , 48 , 42 , 3 
3, 33 , 209 , 46 , 48 , 7 
3, 34 , 200 , 48 , 45 , 5 
3, 35 , 204 , 49 , 42 , 3 
3, 36 , 196 , 46 , 47 , 5 
3, 37 , 210 , 43 , 48 , 4 
3, 38 , 205 , 48 , 46 , 4 
3, 39 , 219 , 49 , 51 , 4 
3, 40 , 204 , 53 , 41 , 3 
3, 41 , 207 , 47 , 44 , 2 
3, 42 , 205 , 42 , 50 , 3 
3, 43 , 205 , 47 , 46 , 4 
3, 44 , 193 , 44 , 48 , 3 
3, 45 , 254 , 46 , 50 , 5 
3, 46 , 215 , 43 , 41 , 4 
3, 47 , 216 , 43 , 48 , 4 
3, 48 , 212 , 47 , 47 , 4 
3, 49 , 214 , 41 , 41 , 4 
3, 50 , 204 , 46 , 48 , 5 
3, 51 , 223 , 53 , 49 , 5 
3, 52 , 206 , 44 , 47 , 5 
3, 53 , 218 , 45 , 52 , 5 
3, 54 , 205 , 43 , 44 , 5 
3, 55 , 209 , 42 , 51 , 5 
3, 56 , 205 , 45 , 42 , 5 
3, 57 , 207 , 47 , 47 , 4 
3, 58 , 215 , 55 , 51 , 4 
3, 59 , 206 , 42 , 52 , 4 
4, -   , 197 , 47 , 47 , 4 
