hour,minute,desktop,smartphone,tablet,other mobile
2, 7 , 33 , 12 , 15 , 2 
2, 8 , 30 , 11 , 16 , 2 
2, 9 , 34 , 7 , 20 , 2 
2, 10 , 33 , 7 , 18 , 3 
2, 11 , 28 , 8 , 16 , 3 
2, 12 , 36 , 7 , 13 , 2 
2, 13 , 33 , 8 , 14 , 3 
2, 14 , 33 , 8 , 13 , 4 
2, 15 , 29 , 9 , 15 , 3 
2, 16 , 34 , 10 , 16 , 3 
2, 17 , 29 , 12 , 14 , 3 
2, 18 , 31 , 12 , 16 , 2 
2, 19 , 29 , 10 , 15 , 2 
2, 20 , 30 , 9 , 13 , 2 
2, 21 , 27 , 14 , 12 , 2 
2, 22 , 29 , 11 , 12 , 3 
2, 23 , 26 , 14 , 12 , 2 
2, 24 , 29 , 14 , 15 , 2 
2, 25 , 29 , 12 , 16 , 2 
2, 26 , 33 , 11 , 16 , 2 
2, 27 , 31 , 9 , 9 , 3 
2, 28 , 29 , 10 , 14 , 2 
2, 29 , 29 , 11 , 16 , 2 
2, 30 , 30 , 9 , 15 , 3 
2, 31 , 34 , 15 , 14 , 3 
2, 32 , 30 , 11 , 15 , 3 
2, 33 , 29 , 12 , 14 , 3 
2, 34 , 26 , 12 , 18 , 3 
2, 35 , 27 , 9 , 20 , 3 
2, 36 , 24 , 9 , 16 , 3 
2, 37 , 28 , 7 , 17 , 3 
2, 38 , 27 , 10 , 18 , 3 
2, 39 , 32 , 8 , 16 , 3 
2, 40 , 27 , 9 , 14 , 4 
2, 41 , 31 , 11 , 14 , 3 
2, 42 , 29 , 10 , 16 , 3 
2, 43 , 29 , 10 , 16 , 3 
2, 44 , 28 , 11 , 15 , 3 
2, 45 , 33 , 9 , 15 , 2 
2, 46 , 27 , 11 , 17 , 2 
2, 47 , 30 , 6 , 19 , 3 
2, 48 , 27 , 10 , 15 , 3 
2, 49 , 23 , 8 , 16 , 2 
2, 50 , 26 , 7 , 14 , 2 
2, 51 , 30 , 8 , 15 , 4 
2, 52 , 25 , 12 , 18 , 2 
2, 53 , 30 , 8 , 17 , 3 
2, 54 , 27 , 11 , 15 , 3 
2, 55 , 27 , 13 , 17 , 3 
2, 56 , 27 , 8 , 19 , 2 
2, 57 , 29 , 10 , 17 , 3 
2, 58 , 30 , 9 , 19 , 3 
2, 59 , 31 , 9 , 17 , 3 
3, -   , 28 , 11 , 15 , 2 
3, 1 , 32 , 8 , 18 , 3 
3, 2 , 38 , 10 , 14 , 3 
3, 3 , 31 , 10 , 21 , 2 
3, 4 , 32 , 13 , 18 , 3 
3, 5 , 31 , 13 , 20 , 3 
3, 6 , 30 , 11 , 20 , 2 
3, 7 , 31 , 13 , 20 , 3 
3, 8 , 31 , 9 , 22 , 3 
3, 9 , 33 , 7 , 19 , 3 
3, 10 , 35 , 10 , 21 , 4 
3, 11 , 32 , 8 , 22 , 3 
3, 12 , 29 , 9 , 22 , 3 
3, 13 , 32 , 13 , 28 , 2 
3, 14 , 33 , 12 , 23 , 3 
3, 15 , 32 , 10 , 25 , 4 
3, 16 , 31 , 9 , 30 , 4 
3, 17 , 34 , 10 , 25 , 3 
3, 18 , 31 , 11 , 28 , 3 
3, 19 , 36 , 11 , 28 , 3 
3, 20 , 31 , 13 , 25 , 3 
3, 21 , 32 , 18 , 28 , 4 
3, 22 , 35 , 12 , 25 , 5 
3, 23 , 44 , 11 , 26 , 3 
3, 24 , 34 , 13 , 27 , 5 
3, 25 , 33 , 12 , 26 , 5 
3, 26 , 33 , 9 , 27 , 4 
3, 27 , 37 , 12 , 30 , 4 
3, 28 , 31 , 14 , 29 , 4 
3, 29 , 37 , 17 , 30 , 3 
3, 30 , 33 , 14 , 28 , 3 
3, 31 , 35 , 16 , 27 , 4 
3, 32 , 36 , 14 , 28 , 3 
3, 33 , 30 , 16 , 31 , 3 
3, 34 , 34 , 14 , 26 , 3 
3, 35 , 35 , 11 , 32 , 5 
3, 36 , 35 , 11 , 30 , 4 
3, 37 , 34 , 11 , 28 , 4 
3, 38 , 33 , 11 , 34 , 3 
3, 39 , 32 , 13 , 31 , 3 
3, 40 , 34 , 14 , 29 , 3 
3, 41 , 33 , 15 , 34 , 3 
3, 42 , 34 , 17 , 34 , 3 
3, 43 , 38 , 16 , 39 , 4 
3, 44 , 34 , 14 , 40 , 3 
3, 45 , 41 , 15 , 39 , 4 
3, 46 , 37 , 13 , 41 , 3 
3, 47 , 34 , 17 , 35 , 4 
3, 48 , 36 , 16 , 33 , 4 
3, 49 , 36 , 16 , 40 , 6 
3, 50 , 35 , 17 , 38 , 4 
3, 51 , 37 , 14 , 36 , 3 
3, 52 , 37 , 16 , 35 , 4 
3, 53 , 44 , 17 , 40 , 3 
3, 54 , 36 , 16 , 40 , 3 
3, 55 , 39 , 23 , 37 , 4 
3, 56 , 39 , 18 , 46 , 3 
3, 57 , 41 , 16 , 45 , 4 
3, 58 , 40 , 15 , 43 , 4 
3, 59 , 41 , 16 , 45 , 5 
4, -   , 44 , 18 , 40 , 4 
4, 1 , 46 , 15 , 41 , 4 
4, 2 , 43 , 20 , 44 , 3 
4, 3 , 41 , 20 , 37 , 3 
4, 4 , 40 , 23 , 45 , 2 
4, 5 , 41 , 21 , 48 , 4 
4, 6 , 45 , 22 , 46 , 4 
4, 7 , 36 , 24 , 47 , 3 
4, 8 , 43 , 24 , 53 , 4 
4, 9 , 40 , 23 , 53 , 3 
4, 10 , 42 , 23 , 48 , 3 
4, 11 , 41 , 24 , 48 , 4 
