hour,minute,desktop,smartphone,tablet,other
2, 24 , 349 , 198 , 250 , 20 
2, 25 , 376 , 191 , 248 , 17 
2, 26 , 388 , 193 , 240 , 17 
2, 27 , 386 , 190 , 239 , 17 
2, 28 , 376 , 193 , 243 , 19 
2, 29 , 364 , 197 , 234 , 16 
2, 30 , 375 , 197 , 237 , 19 
2, 31 , 377 , 182 , 232 , 16 
2, 32 , 378 , 189 , 249 , 19 
2, 33 , 384 , 184 , 245 , 16 
2, 34 , 391 , 199 , 232 , 16 
2, 35 , 369 , 192 , 233 , 17 
2, 36 , 362 , 192 , 234 , 18 
2, 37 , 358 , 202 , 226 , 18 
2, 38 , 383 , 204 , 237 , 18 
2, 39 , 373 , 195 , 227 , 16 
2, 40 , 362 , 199 , 231 , 16 
2, 41 , 366 , 192 , 242 , 17 
2, 42 , 360 , 195 , 246 , 17 
2, 43 , 347 , 200 , 246 , 16 
2, 44 , 354 , 208 , 239 , 18 
2, 45 , 396 , 202 , 242 , 17 
2, 46 , 372 , 191 , 243 , 17 
2, 47 , 366 , 186 , 237 , 16 
2, 48 , 356 , 183 , 226 , 17 
2, 49 , 357 , 192 , 224 , 14 
2, 50 , 350 , 191 , 230 , 15 
2, 51 , 418 , 197 , 233 , 16 
2, 52 , 379 , 200 , 234 , 17 
2, 53 , 396 , 194 , 230 , 18 
2, 54 , 371 , 192 , 242 , 20 
2, 55 , 353 , 188 , 241 , 17 
2, 56 , 337 , 177 , 239 , 18 
2, 57 , 385 , 181 , 235 , 20 
2, 58 , 358 , 171 , 228 , 17 
2, 59 , 334 , 180 , 236 , 16 
3, -   , 397 , 188 , 223 , 16 
3, 1 , 505 , 176 , 221 , 18 
3, 2 , 487 , 177 , 221 , 15 
3, 3 , 444 , 176 , 208 , 14 
3, 4 , 493 , 180 , 218 , 13 
3, 5 , 468 , 173 , 224 , 17 
3, 6 , 412 , 178 , 213 , 16 
3, 7 , 387 , 177 , 214 , 15 
3, 8 , 363 , 175 , 218 , 14 
3, 9 , 357 , 181 , 223 , 18 
3, 10 , 339 , 188 , 227 , 17 
3, 11 , 334 , 179 , 228 , 17 
3, 12 , 334 , 177 , 213 , 18 
3, 13 , 346 , 180 , 212 , 16 
3, 14 , 396 , 184 , 223 , 18 
3, 15 , 438 , 173 , 216 , 17 
3, 16 , 375 , 178 , 225 , 16 
3, 17 , 349 , 183 , 230 , 17 
3, 18 , 329 , 172 , 218 , 20 
3, 19 , 323 , 170 , 224 , 18 
3, 20 , 343 , 174 , 226 , 18 
3, 21 , 315 , 174 , 213 , 17 
3, 22 , 313 , 175 , 214 , 15 
3, 23 , 353 , 181 , 208 , 16 
3, 24 , 328 , 176 , 206 , 15 
3, 25 , 327 , 162 , 210 , 18 
3, 26 , 339 , 173 , 214 , 20 
3, 27 , 343 , 173 , 214 , 17 
3, 28 , 325 , 180 , 219 , 14 
3, 29 , 321 , 173 , 204 , 16 
3, 30 , 341 , 173 , 207 , 16 
3, 31 , 334 , 174 , 207 , 19 
3, 32 , 312 , 177 , 216 , 18 
3, 33 , 340 , 167 , 208 , 18 
3, 34 , 321 , 167 , 211 , 18 
