hour,minute,desktop,smartphone,tablet,other mobile
8, 54 , 107 , 79 , 39 , 42 , 8 
8, 55 , 103 , 82 , 41 , 37 , 6 
8, 56 , 100 , 83 , 36 , 40 , 8 
8, 57 , 98 , 88 , 38 , 39 , 7 
8, 58 , 98 , 88 , 35 , 40 , 8 
8, 59 , 90 , 82 , 38 , 35 , 6 
9, -   , 100 , 84 , 39 , 41 , 7 
9, 1 , 112 , 102 , 37 , 44 , 6 
9, 2 , 123 , 113 , 41 , 38 , 6 
9, 3 , 116 , 110 , 41 , 42 , 7 
9, 4 , 124 , 106 , 40 , 44 , 5 
9, 5 , 126 , 111 , 39 , 45 , 8 
9, 6 , 117 , 98 , 42 , 48 , 6 
9, 7 , 114 , 97 , 40 , 46 , 6 
9, 8 , 112 , 100 , 42 , 45 , 7 
9, 9 , 105 , 98 , 40 , 41 , 6 
9, 10 , 112 , 91 , 40 , 48 , 7 
9, 11 , 105 , 84 , 41 , 42 , 7 
9, 12 , 99 , 86 , 42 , 41 , 7 
9, 13 , 105 , 89 , 46 , 46 , 8 
9, 14 , 110 , 98 , 46 , 49 , 8 
9, 15 , 111 , 114 , 43 , 42 , 7 
9, 16 , 105 , 94 , 48 , 49 , 6 
9, 17 , 110 , 82 , 48 , 46 , 8 
9, 18 , 100 , 86 , 45 , 43 , 7 
9, 19 , 97 , 80 , 39 , 47 , 7 
9, 20 , 107 , 83 , 40 , 48 , 6 
9, 21 , 99 , 90 , 38 , 48 , 6 
9, 22 , 105 , 89 , 46 , 49 , 7 
9, 23 , 100 , 86 , 45 , 48 , 7 
9, 24 , 96 , 84 , 40 , 51 , 7 
9, 25 , 102 , 86 , 38 , 53 , 7 
9, 26 , 103 , 83 , 37 , 55 , 7 
9, 27 , 101 , 87 , 40 , 55 , 7 
9, 28 , 100 , 86 , 40 , 48 , 7 
9, 29 , 107 , 91 , 42 , 49 , 7 
9, 30 , 99 , 89 , 41 , 52 , 7 
9, 31 , 100 , 86 , 46 , 52 , 8 
9, 32 , 100 , 82 , 48 , 50 , 8 
9, 33 , 109 , 95 , 45 , 57 , 9 
9, 34 , 110 , 96 , 44 , 57 , 7 
9, 35 , 108 , 95 , 45 , 54 , 9 
9, 36 , 109 , 84 , 50 , 58 , 9 
9, 37 , 114 , 88 , 48 , 64 , 10 
9, 38 , 111 , 90 , 46 , 65 , 10 
9, 39 , 107 , 95 , 49 , 69 , 11 
9, 40 , 106 , 86 , 51 , 64 , 10 
9, 41 , 108 , 88 , 48 , 64 , 11 
9, 42 , 110 , 89 , 42 , 65 , 7 
9, 43 , 102 , 90 , 47 , 58 , 7 
9, 44 , 111 , 94 , 49 , 52 , 7 
9, 45 , 115 , 104 , 55 , 61 , 7 
9, 46 , 111 , 100 , 54 , 61 , 7 
9, 47 , 100 , 94 , 53 , 68 , 8 
9, 48 , 98 , 89 , 46 , 64 , 6 
9, 49 , 107 , 94 , 47 , 68 , 8 
9, 50 , 99 , 91 , 47 , 62 , 9 
9, 51 , 119 , 101 , 48 , 59 , 8 
9, 52 , 111 , 96 , 52 , 70 , 8 
9, 53 , 109 , 112 , 50 , 65 , 9 
9, 54 , 112 , 95 , 50 , 66 , 8 
9, 55 , 108 , 91 , 49 , 60 , 8 
9, 56 , 104 , 96 , 49 , 65 , 11 
9, 57 , 118 , 105 , 58 , 71 , 8 
9, 58 , 123 , 110 , 52 , 74 , 8 
9, 59 , 123 , 103 , 55 , 73 , 9 
10, -   , 120 , 116 , 59 , 71 , 10 
10, 1 , 137 , 126 , 57 , 78 , 8 
10, 2 , 144 , 138 , 64 , 78 , 9 
10, 3 , 147 , 137 , 56 , 80 , 7 
10, 4 , 145 , 143 , 57 , 87 , 9 
10, 5 , 142 , 131 , 54 , 89 , 9 
10, 6 , 146 , 126 , 62 , 88 , 9 
10, 7 , 131 , 133 , 58 , 84 , 11 
10, 8 , 139 , 126 , 64 , 89 , 7 
10, 9 , 135 , 125 , 58 , 86 , 8 
10, 10 , 131 , 122 , 63 , 83 , 8 
10, 11 , 124 , 117 , 70 , 84 , 7 
10, 12 , 121 , 114 , 63 , 95 , 8 
10, 13 , 118 , 124 , 63 , 91 , 8 
10, 14 , 141 , 122 , 64 , 93 , 10 
10, 15 , 145 , 137 , 61 , 89 , 9 
10, 16 , 136 , 117 , 68 , 88 , 9 
10, 17 , 131 , 112 , 69 , 93 , 8 
10, 18 , 129 , 118 , 71 , 96 , 8 
10, 19 , 135 , 113 , 70 , 96 , 8 
10, 20 , 135 , 124 , 69 , 95 , 9 
10, 21 , 137 , 124 , 71 , 92 , 8 
10, 22 , 134 , 120 , 72 , 99 , 7 
10, 23 , 136 , 124 , 72 , 102 , 8 
10, 24 , 137 , 122 , 68 , 104 , 12 
10, 25 , 136 , 124 , 73 , 112 , 10 
10, 26 , 148 , 122 , 70 , 111 , 10 
10, 27 , 147 , 122 , 77 , 112 , 10 
10, 28 , 149 , 117 , 82 , 116 , 10 
10, 29 , 145 , 115 , 78 , 120 , 8 
10, 30 , 149 , 127 , 79 , 127 , 11 
10, 31 , 156 , 134 , 85 , 119 , 10 
10, 32 , 160 , 123 , 83 , 119 , 11 
10, 33 , 162 , 138 , 80 , 122 , 10 
10, 34 , 163 , 130 , 77 , 127 , 11 
10, 35 , 155 , 122 , 83 , 127 , 10 
10, 36 , 148 , 126 , 87 , 123 , 10 
10, 37 , 157 , 131 , 85 , 130 , 10 
10, 38 , 157 , 130 , 83 , 139 , 9 
10, 39 , 165 , 140 , 90 , 128 , 10 
10, 40 , 163 , 147 , 96 , 134 , 12 
10, 41 , 171 , 143 , 91 , 143 , 10 
10, 42 , 167 , 134 , 87 , 137 , 8 
10, 43 , 160 , 139 , 83 , 136 , 11 
10, 44 , 171 , 138 , 96 , 137 , 9 
10, 45 , 197 , 154 , 84 , 148 , 9 
10, 46 , 193 , 152 , 87 , 154 , 11 
10, 47 , 176 , 150 , 101 , 140 , 12 
10, 48 , 176 , 146 , 93 , 154 , 11 
10, 49 , 176 , 137 , 94 , 149 , 10 
10, 50 , 175 , 149 , 106 , 150 , 8 
10, 51 , 190 , 158 , 102 , 147 , 9 
10, 52 , 178 , 152 , 99 , 146 , 9 
10, 53 , 193 , 149 , 97 , 145 , 11 
10, 54 , 191 , 156 , 98 , 148 , 11 
10, 55 , 189 , 147 , 100 , 149 , 11 
10, 56 , 174 , 144 , 96 , 152 , 12 
10, 57 , 192 , 164 , 106 , 155 , 10 
10, 58 , 194 , 156 , 102 , 158 , 9 
10, 59 , 183 , 153 , 98 , 170 , 9 
11, -   , 206 , 169 , 100 , 156 , 9 
11, 1 , 240 , 206 , 100 , 153 , 11 
11, 2 , 237 , 201 , 112 , 155 , 11 
11, 3 , 228 , 197 , 115 , 174 , 13 
11, 4 , 233 , 223 , 115 , 177 , 13 
11, 5 , 238 , 200 , 108 , 176 , 11 
11, 6 , 233 , 206 , 112 , 175 , 14 
11, 7 , 228 , 199 , 126 , 171 , 11 
11, 8 , 220 , 185 , 108 , 166 , 14 
11, 9 , 218 , 187 , 115 , 159 , 13 
11, 10 , 221 , 178 , 124 , 166 , 13 
11, 11 , 211 , 182 , 120 , 167 , 13 
11, 12 , 220 , 188 , 115 , 175 , 13 
11, 13 , 227 , 186 , 125 , 182 , 11 
11, 14 , 239 , 197 , 131 , 174 , 14 
11, 15 , 241 , 221 , 129 , 176 , 12 
11, 16 , 233 , 215 , 124 , 187 , 11 
11, 17 , 236 , 203 , 127 , 194 , 12 
11, 18 , 229 , 190 , 128 , 186 , 14 
11, 19 , 223 , 187 , 135 , 191 , 11 
11, 20 , 235 , 199 , 139 , 194 , 11 
11, 21 , 229 , 198 , 145 , 188 , 13 
11, 22 , 236 , 193 , 147 , 193 , 11 
11, 23 , 261 , 222 , 140 , 193 , 12 
11, 24 , 241 , 195 , 140 , 191 , 13 
11, 25 , 242 , 200 , 140 , 196 , 13 
11, 26 , 260 , 204 , 135 , 198 , 13 
11, 27 , 260 , 207 , 145 , 191 , 13 
11, 28 , 257 , 208 , 150 , 201 , 11 
11, 29 , 255 , 209 , 144 , 199 , 14 
11, 30 , 268 , 215 , 145 , 189 , 12 
11, 31 , 266 , 218 , 141 , 202 , 13 
11, 32 , 257 , 215 , 153 , 207 , 11 
11, 33 , 270 , 233 , 149 , 194 , 11 
11, 34 , 260 , 219 , 156 , 211 , 15 
11, 35 , 258 , 220 , 150 , 208 , 13 
11, 36 , 255 , 218 , 152 , 223 , 13 
11, 37 , 266 , 209 , 150 , 213 , 12 
11, 38 , 276 , 222 , 153 , 217 , 11 
11, 39 , 288 , 236 , 154 , 216 , 13 
11, 40 , 295 , 234 , 152 , 218 , 14 
11, 41 , 291 , 225 , 158 , 222 , 15 
11, 42 , 286 , 228 , 156 , 218 , 15 
11, 43 , 284 , 235 , 161 , 226 , 14 
11, 44 , 291 , 241 , 157 , 226 , 15 
11, 45 , 304 , 256 , 151 , 229 , 12 
11, 46 , 306 , 247 , 172 , 226 , 11 
11, 47 , 301 , 239 , 160 , 228 , 13 
11, 48 , 299 , 245 , 150 , 228 , 13 
11, 49 , 311 , 236 , 160 , 234 , 13 
11, 50 , 326 , 246 , 163 , 239 , 14 
11, 51 , 344 , 270 , 176 , 229 , 15 
11, 52 , 335 , 256 , 164 , 228 , 15 
11, 53 , 330 , 254 , 162 , 227 , 14 
11, 54 , 323 , 246 , 160 , 235 , 15 
11, 55 , 323 , 247 , 178 , 245 , 16 
11, 56 , 319 , 255 , 168 , 229 , 16 
11, 57 , 337 , 268 , 172 , 228 , 14 
11, 58 , 344 , 276 , 173 , 231 , 14 
11, 59 , 317 , 277 , 166 , 229 , 15 
12, -   , 357 , 283 , 167 , 228 , 13 
12, 1 , 389 , 335 , 172 , 234 , 13 
12, 2 , 388 , 318 , 166 , 238 , 15 
12, 3 , 381 , 323 , 176 , 234 , 15 
12, 4 , 393 , 348 , 170 , 236 , 15 
12, 5 , 392 , 330 , 176 , 242 , 17 
12, 6 , 382 , 311 , 173 , 244 , 13 
12, 7 , 378 , 295 , 175 , 237 , 13 
12, 8 , 355 , 293 , 173 , 241 , 17 
12, 9 , 361 , 282 , 171 , 228 , 16 
12, 10 , 356 , 282 , 176 , 235 , 15 
12, 11 , 345 , 283 , 179 , 248 , 16 
12, 12 , 350 , 284 , 170 , 237 , 13 
12, 13 , 362 , 284 , 175 , 245 , 15 
12, 14 , 393 , 300 , 173 , 245 , 15 
12, 15 , 404 , 335 , 177 , 248 , 17 
12, 16 , 384 , 296 , 184 , 248 , 17 
12, 17 , 369 , 276 , 189 , 253 , 14 
12, 18 , 369 , 287 , 174 , 264 , 13 
12, 19 , 379 , 291 , 176 , 248 , 16 
12, 20 , 386 , 290 , 178 , 251 , 16 
12, 21 , 373 , 287 , 183 , 255 , 17 
12, 22 , 386 , 291 , 193 , 255 , 17 
12, 23 , 426 , 351 , 189 , 251 , 15 
12, 24 , 386 , 299 , 193 , 253 , 18 
12, 25 , 390 , 308 , 183 , 247 , 15 
12, 26 , 404 , 317 , 195 , 263 , 15 
12, 27 , 403 , 320 , 197 , 265 , 16 
12, 28 , 399 , 301 , 199 , 242 , 14 
12, 29 , 405 , 297 , 195 , 236 , 16 
12, 30 , 402 , 303 , 194 , 229 , 17 
12, 31 , 412 , 323 , 187 , 237 , 17 
12, 32 , 415 , 310 , 194 , 225 , 17 
12, 33 , 433 , 327 , 185 , 222 , 18 
12, 34 , 412 , 317 , 191 , 233 , 18 
12, 35 , 402 , 316 , 189 , 234 , 18 
12, 36 , 433 , 321 , 193 , 238 , 16 
12, 37 , 444 , 320 , 185 , 242 , 16 
12, 38 , 445 , 342 , 193 , 248 , 15 
12, 39 , 458 , 353 , 190 , 240 , 14 
12, 40 , 473 , 334 , 205 , 232 , 16 
12, 41 , 443 , 336 , 205 , 258 , 17 
12, 42 , 453 , 333 , 201 , 231 , 17 
12, 43 , 458 , 339 , 192 , 234 , 15 
12, 44 , 453 , 354 , 193 , 233 , 16 
12, 45 , 483 , 374 , 189 , 240 , 18 
12, 46 , 472 , 344 , 195 , 245 , 17 
12, 47 , 473 , 346 , 202 , 242 , 15 
12, 48 , 478 , 341 , 193 , 242 , 17 
12, 49 , 472 , 349 , 202 , 236 , 16 
12, 50 , 475 , 352 , 203 , 236 , 17 
12, 51 , 493 , 399 , 204 , 242 , 15 
12, 52 , 475 , 375 , 204 , 240 , 15 
12, 53 , 495 , 395 , 201 , 234 , 16 
12, 54 , 493 , 371 , 208 , 251 , 20 
12, 55 , 496 , 373 , 205 , 250 , 18 
12, 56 , 489 , 360 , 200 , 252 , 19 
12, 57 , 516 , 396 , 199 , 254 , 17 
12, 58 , 499 , 375 , 205 , 246 , 15 
12, 59 , 495 , 375 , 203 , 238 , 16 
13, -   , 535 , 404 , 196 , 233 , 18 
13, 1 , 610 , 476 , 190 , 230 , 18 
13, 2 , 574 , 457 , 196 , 229 , 18 
13, 3 , 595 , 474 , 197 , 242 , 18 
13, 4 , 629 , 494 , 194 , 231 , 17 
13, 5 , 597 , 473 , 193 , 230 , 19 
13, 6 , 553 , 450 , 203 , 232 , 18 
13, 7 , 542 , 427 , 196 , 223 , 17 
13, 8 , 558 , 416 , 191 , 231 , 17 
13, 9 , 530 , 416 , 187 , 242 , 16 
13, 10 , 533 , 406 , 204 , 232 , 14 
13, 11 , 531 , 401 , 204 , 241 , 16 
13, 12 , 541 , 394 , 206 , 246 , 19 
13, 13 , 553 , 388 , 200 , 243 , 18 
13, 14 , 593 , 419 , 198 , 240 , 17 
13, 15 , 603 , 463 , 195 , 223 , 19 
13, 16 , 582 , 422 , 194 , 231 , 16 
13, 17 , 562 , 405 , 202 , 224 , 18 
13, 18 , 557 , 406 , 197 , 235 , 16 
13, 19 , 563 , 405 , 202 , 224 , 16 
13, 20 , 568 , 419 , 194 , 223 , 17 
13, 21 , 576 , 409 , 195 , 226 , 19 
13, 22 , 571 , 420 , 202 , 231 , 15 
13, 23 , 576 , 412 , 198 , 227 , 19 
13, 24 , 575 , 418 , 194 , 230 , 18 
13, 25 , 591 , 432 , 200 , 226 , 16 
13, 26 , 602 , 467 , 199 , 235 , 17 
13, 27 , 589 , 466 , 197 , 212 , 15 
13, 28 , 598 , 441 , 198 , 226 , 17 
13, 29 , 596 , 434 , 186 , 221 , 16 
13, 30 , 603 , 437 , 197 , 201 , 15 
13, 31 , 584 , 430 , 188 , 210 , 17 
13, 32 , 586 , 428 , 191 , 214 , 18 
13, 33 , 611 , 436 , 193 , 217 , 19 
13, 34 , 605 , 427 , 195 , 215 , 18 
13, 35 , 601 , 423 , 203 , 207 , 20 
13, 36 , 610 , 435 , 208 , 213 , 16 
13, 37 , 606 , 429 , 205 , 207 , 19 
13, 38 , 642 , 471 , 198 , 197 , 19 
13, 39 , 665 , 460 , 196 , 214 , 18 
13, 40 , 637 , 443 , 203 , 200 , 23 
13, 41 , 633 , 431 , 206 , 200 , 17 
13, 42 , 633 , 441 , 204 , 202 , 17 
13, 43 , 625 , 447 , 195 , 210 , 18 
13, 44 , 644 , 461 , 199 , 206 , 16 
13, 45 , 668 , 481 , 194 , 213 , 19 
13, 46 , 650 , 467 , 194 , 202 , 19 
13, 47 , 637 , 459 , 192 , 210 , 20 
13, 48 , 651 , 466 , 187 , 213 , 19 
13, 49 , 641 , 454 , 186 , 213 , 19 
13, 50 , 656 , 468 , 205 , 209 , 19 
13, 51 , 691 , 514 , 183 , 202 , 18 
13, 52 , 658 , 473 , 190 , 211 , 17 
13, 53 , 669 , 497 , 187 , 205 , 19 
13, 54 , 653 , 469 , 201 , 195 , 19 
13, 55 , 638 , 464 , 187 , 200 , 15 
13, 56 , 648 , 461 , 191 , 198 , 18 
13, 57 , 681 , 500 , 197 , 190 , 20 
13, 58 , 647 , 468 , 193 , 186 , 17 
13, 59 , 631 , 450 , 179 , 198 , 18 
14, -   , 681 , 480 , 173 , 187 , 15 
14, 1 , 747 , 577 , 170 , 186 , 15 
14, 2 , 731 , 557 , 177 , 191 , 19 
14, 3 , 746 , 562 , 174 , 190 , 18 
14, 4 , 779 , 578 , 177 , 195 , 16 
14, 5 , 728 , 547 , 171 , 186 , 16 
14, 6 , 703 , 518 , 184 , 178 , 17 
14, 7 , 689 , 500 , 177 , 179 , 19 
14, 8 , 686 , 479 , 177 , 184 , 17 
14, 9 , 650 , 468 , 173 , 190 , 18 
14, 10 , 652 , 478 , 177 , 185 , 15 
14, 11 , 656 , 463 , 182 , 184 , 18 
14, 12 , 672 , 480 , 190 , 171 , 16 
14, 13 , 657 , 473 , 180 , 184 , 19 
14, 14 , 705 , 501 , 178 , 183 , 16 
14, 15 , 722 , 542 , 174 , 171 , 18 
14, 16 , 687 , 485 , 175 , 171 , 18 
14, 17 , 688 , 482 , 180 , 175 , 18 
14, 18 , 669 , 468 , 166 , 169 , 18 
14, 19 , 669 , 481 , 177 , 183 , 18 
14, 20 , 669 , 492 , 180 , 169 , 16 
14, 21 , 677 , 476 , 189 , 179 , 18 
14, 22 , 672 , 480 , 171 , 173 , 17 
14, 23 , 672 , 482 , 170 , 173 , 17 
14, 24 , 681 , 488 , 162 , 176 , 14 
14, 25 , 677 , 480 , 165 , 178 , 17 
14, 26 , 702 , 502 , 167 , 173 , 17 
14, 27 , 714 , 532 , 177 , 168 , 17 
14, 28 , 688 , 516 , 169 , 159 , 16 
14, 29 , 688 , 496 , 169 , 165 , 17 
14, 30 , 695 , 500 , 159 , 164 , 18 
14, 31 , 695 , 503 , 155 , 162 , 15 
14, 32 , 650 , 471 , 156 , 163 , 17 
14, 33 , 694 , 481 , 165 , 157 , 16 
14, 34 , 669 , 468 , 162 , 146 , 15 
14, 35 , 656 , 459 , 159 , 155 , 17 
14, 36 , 657 , 477 , 165 , 171 , 13 
14, 37 , 679 , 462 , 167 , 174 , 17 
14, 38 , 724 , 538 , 165 , 170 , 17 
14, 39 , 713 , 507 , 159 , 171 , 15 
14, 40 , 703 , 467 , 164 , 161 , 14 
14, 41 , 686 , 465 , 161 , 160 , 18 
14, 42 , 693 , 471 , 167 , 161 , 14 
14, 43 , 681 , 464 , 158 , 164 , 16 
14, 44 , 684 , 484 , 163 , 157 , 15 
14, 45 , 702 , 511 , 164 , 153 , 17 
14, 46 , 700 , 480 , 158 , 161 , 17 
14, 47 , 711 , 473 , 160 , 157 , 19 
14, 48 , 698 , 474 , 169 , 152 , 17 
14, 49 , 683 , 468 , 154 , 169 , 16 
14, 50 , 673 , 475 , 157 , 155 , 15 
14, 51 , 753 , 544 , 166 , 161 , 18 
14, 52 , 679 , 494 , 160 , 157 , 16 
14, 53 , 715 , 515 , 162 , 167 , 18 
14, 54 , 721 , 492 , 162 , 167 , 16 
14, 55 , 687 , 482 , 156 , 177 , 18 
14, 56 , 677 , 495 , 153 , 164 , 16 
14, 57 , 692 , 530 , 161 , 154 , 18 
14, 58 , 675 , 493 , 161 , 161 , 17 
14, 59 , 667 , 473 , 157 , 156 , 15 
15, -   , 743 , 511 , 154 , 150 , 18 
15, 1 , 820 , 632 , 157 , 151 , 15 
15, 2 , 767 , 601 , 158 , 154 , 15 
15, 3 , 768 , 597 , 161 , 149 , 13 
15, 4 , 835 , 620 , 149 , 155 , 13 
15, 5 , 749 , 563 , 157 , 141 , 15 
15, 6 , 705 , 516 , 161 , 146 , 16 
15, 7 , 696 , 516 , 150 , 144 , 16 
15, 8 , 674 , 487 , 151 , 142 , 15 
15, 9 , 665 , 471 , 151 , 142 , 15 
15, 10 , 679 , 479 , 155 , 144 , 18 
15, 11 , 677 , 465 , 147 , 141 , 15 
15, 12 , 678 , 458 , 144 , 142 , 14 
15, 13 , 657 , 458 , 142 , 138 , 15 
15, 14 , 710 , 508 , 155 , 142 , 18 
15, 15 , 757 , 545 , 148 , 147 , 15 
15, 16 , 662 , 474 , 147 , 144 , 18 
15, 17 , 664 , 475 , 145 , 146 , 15 
15, 18 , 682 , 470 , 143 , 142 , 16 
15, 19 , 666 , 469 , 146 , 143 , 16 
15, 20 , 673 , 470 , 138 , 135 , 16 
15, 21 , 664 , 475 , 139 , 132 , 15 
15, 22 , 646 , 467 , 145 , 133 , 13 
15, 23 , 670 , 513 , 147 , 139 , 17 
15, 24 , 654 , 491 , 142 , 141 , 14 
15, 25 , 662 , 472 , 146 , 141 , 13 
15, 26 , 647 , 485 , 140 , 128 , 13 
15, 27 , 674 , 487 , 152 , 143 , 15 
15, 28 , 655 , 474 , 139 , 144 , 16 
15, 29 , 657 , 461 , 145 , 136 , 15 
15, 30 , 672 , 470 , 144 , 132 , 15 
15, 31 , 664 , 475 , 142 , 133 , 13 
15, 32 , 647 , 464 , 137 , 129 , 14 
15, 33 , 675 , 484 , 144 , 137 , 15 
15, 34 , 679 , 466 , 150 , 138 , 14 
15, 35 , 647 , 454 , 151 , 137 , 14 
15, 36 , 648 , 465 , 143 , 128 , 15 
15, 37 , 640 , 452 , 150 , 132 , 14 
15, 38 , 698 , 522 , 138 , 136 , 13 
15, 39 , 675 , 497 , 138 , 141 , 15 
15, 40 , 668 , 477 , 158 , 137 , 15 
15, 41 , 649 , 469 , 148 , 124 , 14 
15, 42 , 657 , 467 , 133 , 133 , 15 
15, 43 , 652 , 458 , 140 , 125 , 11 
15, 44 , 692 , 472 , 133 , 131 , 13 
15, 45 , 680 , 505 , 140 , 139 , 14 
15, 46 , 658 , 471 , 137 , 127 , 14 
15, 47 , 632 , 452 , 135 , 125 , 16 
15, 48 , 640 , 461 , 129 , 119 , 16 
15, 49 , 630 , 452 , 125 , 120 , 14 
15, 50 , 615 , 449 , 129 , 131 , 14 
15, 51 , 668 , 518 , 122 , 126 , 16 
15, 52 , 631 , 463 , 127 , 118 , 13 
15, 53 , 649 , 482 , 124 , 114 , 13 
15, 54 , 641 , 463 , 122 , 114 , 13 
15, 55 , 614 , 450 , 119 , 113 , 13 
15, 56 , 609 , 460 , 125 , 122 , 15 
15, 57 , 649 , 496 , 119 , 121 , 15 
15, 58 , 628 , 462 , 129 , 117 , 15 
15, 59 , 619 , 440 , 119 , 118 , 13 
16, -   , 672 , 470 , 125 , 121 , 11 
16, 1 , 771 , 608 , 124 , 118 , 14 
16, 2 , 732 , 568 , 123 , 115 , 13 
16, 3 , 727 , 568 , 124 , 118 , 12 
16, 4 , 774 , 615 , 130 , 114 , 14 
16, 5 , 701 , 552 , 122 , 120 , 14 
16, 6 , 643 , 498 , 127 , 116 , 12 
16, 7 , 655 , 484 , 124 , 119 , 15 
16, 8 , 640 , 463 , 125 , 115 , 14 
16, 9 , 630 , 449 , 120 , 114 , 13 
16, 10 , 631 , 450 , 125 , 112 , 14 
16, 11 , 612 , 450 , 132 , 122 , 16 
16, 12 , 618 , 466 , 129 , 119 , 14 
16, 13 , 632 , 464 , 129 , 111 , 13 
16, 14 , 672 , 488 , 129 , 114 , 14 
16, 15 , 693 , 519 , 132 , 103 , 13 
16, 16 , 652 , 479 , 134 , 104 , 15 
16, 17 , 650 , 459 , 134 , 107 , 13 
16, 18 , 645 , 465 , 123 , 106 , 14 
16, 19 , 633 , 472 , 119 , 110 , 15 
16, 20 , 628 , 464 , 113 , 111 , 15 
16, 21 , 628 , 448 , 123 , 108 , 14 
16, 22 , 617 , 444 , 122 , 113 , 15 
16, 23 , 654 , 487 , 122 , 112 , 15 
16, 24 , 608 , 446 , 122 , 111 , 12 
16, 25 , 617 , 448 , 120 , 106 , 14 
16, 26 , 633 , 471 , 116 , 107 , 12 
16, 27 , 640 , 466 , 126 , 103 , 13 
16, 28 , 630 , 454 , 124 , 103 , 13 
16, 29 , 630 , 447 , 124 , 105 , 14 
16, 30 , 625 , 467 , 117 , 110 , 12 
16, 31 , 629 , 445 , 120 , 109 , 14 
16, 32 , 607 , 438 , 127 , 105 , 13 
16, 33 , 646 , 461 , 122 , 97 , 14 
16, 34 , 628 , 441 , 124 , 102 , 14 
16, 35 , 612 , 427 , 120 , 109 , 15 
16, 36 , 619 , 426 , 123 , 104 , 14 
16, 37 , 604 , 436 , 132 , 98 , 15 
16, 38 , 678 , 504 , 128 , 99 , 14 
16, 39 , 644 , 476 , 128 , 98 , 13 
16, 40 , 627 , 453 , 119 , 102 , 16 
16, 41 , 606 , 445 , 125 , 96 , 15 
16, 42 , 604 , 437 , 126 , 91 , 14 
16, 43 , 600 , 446 , 121 , 97 , 16 
16, 44 , 634 , 468 , 122 , 103 , 14 
16, 45 , 658 , 466 , 127 , 104 , 14 
16, 46 , 638 , 444 , 120 , 97 , 13 
16, 47 , 621 , 434 , 129 , 92 , 14 
16, 48 , 596 , 436 , 125 , 97 , 16 
16, 49 , 608 , 430 , 126 , 93 , 16 
16, 50 , 598 , 442 , 121 , 101 , 13 
16, 51 , 659 , 496 , 123 , 102 , 14 
16, 52 , 624 , 442 , 118 , 92 , 14 
16, 53 , 654 , 464 , 121 , 97 , 13 
16, 54 , 619 , 457 , 128 , 90 , 13 
16, 55 , 612 , 444 , 121 , 95 , 14 
16, 56 , 592 , 445 , 122 , 101 , 15 
16, 57 , 661 , 478 , 117 , 97 , 16 
16, 58 , 617 , 447 , 117 , 100 , 14 
16, 59 , 599 , 434 , 117 , 99 , 12 
17, -   , 651 , 470 , 123 , 94 , 14 
17, 1 , 762 , 562 , 120 , 97 , 15 
17, 2 , 704 , 542 , 117 , 95 , 14 
17, 3 , 690 , 559 , 121 , 99 , 14 
17, 4 , 737 , 594 , 123 , 93 , 14 
17, 5 , 674 , 529 , 117 , 87 , 16 
17, 6 , 623 , 466 , 119 , 82 , 14 
17, 7 , 627 , 477 , 109 , 87 , 14 
17, 8 , 618 , 463 , 112 , 94 , 14 
17, 9 , 605 , 439 , 115 , 91 , 15 
17, 10 , 614 , 441 , 120 , 86 , 13 
17, 11 , 599 , 426 , 115 , 86 , 13 
17, 12 , 595 , 437 , 122 , 94 , 15 
17, 13 , 602 , 435 , 123 , 86 , 15 
17, 14 , 641 , 473 , 125 , 90 , 17 
17, 15 , 684 , 483 , 124 , 97 , 15 
17, 16 , 631 , 460 , 125 , 88 , 15 
17, 17 , 598 , 434 , 126 , 84 , 17 
17, 18 , 592 , 432 , 126 , 100 , 13 
17, 19 , 598 , 426 , 123 , 107 , 16 
17, 20 , 614 , 438 , 116 , 96 , 14 
17, 21 , 588 , 428 , 120 , 97 , 12 
17, 22 , 600 , 440 , 123 , 100 , 13 
17, 23 , 580 , 422 , 119 , 93 , 13 
17, 24 , 597 , 431 , 123 , 95 , 14 
17, 25 , 615 , 442 , 120 , 94 , 13 
17, 26 , 644 , 459 , 128 , 86 , 13 
17, 27 , 605 , 464 , 127 , 79 , 14 
17, 28 , 606 , 432 , 121 , 94 , 14 
17, 29 , 600 , 435 , 118 , 92 , 14 
17, 30 , 607 , 446 , 115 , 95 , 12 
17, 31 , 588 , 448 , 121 , 91 , 12 
17, 32 , 574 , 429 , 118 , 90 , 10 
17, 33 , 585 , 441 , 120 , 94 , 14 
17, 34 , 584 , 426 , 114 , 86 , 12 
17, 35 , 573 , 423 , 112 , 83 , 14 
17, 36 , 583 , 419 , 109 , 86 , 11 
17, 37 , 571 , 423 , 113 , 90 , 12 
17, 38 , 636 , 491 , 118 , 91 , 15 
17, 39 , 610 , 468 , 106 , 83 , 13 
17, 40 , 601 , 440 , 107 , 77 , 11 
17, 41 , 603 , 436 , 119 , 90 , 12 
17, 42 , 587 , 448 , 114 , 82 , 16 
17, 43 , 598 , 424 , 111 , 91 , 13 
17, 44 , 611 , 453 , 110 , 81 , 13 
17, 45 , 627 , 463 , 119 , 80 , 13 
17, 46 , 594 , 455 , 113 , 91 , 13 
17, 47 , 597 , 447 , 114 , 93 , 12 
17, 48 , 578 , 455 , 108 , 91 , 15 
17, 49 , 583 , 455 , 112 , 84 , 14 
17, 50 , 546 , 439 , 109 , 88 , 11 
