hour,minute,desktop,smartphone,tablet,other mobile
2, 3 , 485 , 377 , 184 , 243 , 18 
2, 4 , 529 , 418 , 189 , 232 , 17 
2, 5 , 505 , 387 , 193 , 234 , 17 
2, 6 , 443 , 308 , 207 , 239 , 17 
2, 7 , 418 , 294 , 192 , 232 , 19 
2, 8 , 404 , 281 , 197 , 235 , 19 
2, 9 , 407 , 259 , 193 , 234 , 18 
2, 10 , 389 , 254 , 202 , 229 , 17 
2, 11 , 391 , 260 , 192 , 248 , 19 
2, 12 , 365 , 270 , 197 , 264 , 22 
2, 13 , 382 , 264 , 206 , 257 , 19 
2, 14 , 437 , 332 , 213 , 252 , 16 
2, 15 , 482 , 364 , 204 , 247 , 16 
2, 16 , 405 , 305 , 197 , 259 , 17 
2, 17 , 390 , 271 , 215 , 240 , 18 
2, 18 , 372 , 268 , 206 , 236 , 16 
2, 19 , 368 , 256 , 206 , 243 , 17 
2, 20 , 370 , 264 , 203 , 246 , 19 
2, 21 , 359 , 259 , 195 , 240 , 16 
2, 22 , 364 , 251 , 195 , 234 , 17 
2, 23 , 354 , 250 , 198 , 242 , 16 
2, 24 , 349 , 259 , 198 , 250 , 20 
2, 25 , 376 , 244 , 191 , 248 , 17 
2, 26 , 388 , 277 , 193 , 240 , 17 
2, 27 , 386 , 286 , 190 , 239 , 17 
2, 28 , 376 , 262 , 193 , 243 , 19 
2, 29 , 364 , 258 , 197 , 234 , 16 
2, 30 , 375 , 270 , 197 , 237 , 19 
2, 31 , 377 , 273 , 182 , 232 , 16 
2, 32 , 378 , 252 , 189 , 249 , 19 
2, 33 , 384 , 265 , 184 , 245 , 16 
2, 34 , 391 , 251 , 199 , 232 , 16 
2, 35 , 369 , 239 , 192 , 233 , 17 
2, 36 , 362 , 233 , 192 , 234 , 18 
2, 37 , 358 , 240 , 202 , 226 , 18 
2, 38 , 383 , 255 , 204 , 237 , 18 
2, 39 , 373 , 269 , 195 , 227 , 16 
2, 40 , 362 , 253 , 199 , 231 , 16 
2, 41 , 366 , 235 , 192 , 242 , 17 
2, 42 , 360 , 242 , 195 , 246 , 17 
2, 43 , 347 , 241 , 200 , 246 , 16 
2, 44 , 354 , 264 , 208 , 239 , 18 
2, 45 , 396 , 288 , 202 , 242 , 17 
2, 46 , 372 , 269 , 191 , 243 , 17 
2, 47 , 366 , 255 , 186 , 237 , 16 
2, 48 , 356 , 254 , 183 , 226 , 17 
2, 49 , 357 , 241 , 192 , 224 , 14 
2, 50 , 350 , 254 , 191 , 230 , 15 
2, 51 , 418 , 303 , 197 , 233 , 16 
2, 52 , 379 , 258 , 200 , 234 , 17 
2, 53 , 396 , 280 , 194 , 230 , 18 
2, 54 , 371 , 264 , 192 , 242 , 20 
2, 55 , 353 , 240 , 188 , 241 , 17 
2, 56 , 337 , 240 , 177 , 239 , 18 
2, 57 , 385 , 298 , 181 , 235 , 20 
